Date,Time
2012-02-25,04:16:02
2012-02-27,11:37:20
2012-02-29,07:27:32
2012-03-01,03:38:40
2012-03-02,03:17:24
2012-03-03,17:38:20
2012-03-03,21:56:32
2012-03-04,11:40:43
2012-03-07,08:26:28
2012-03-08,00:06:49
2012-03-08,04:47:25
2012-03-08,15:26:33
2012-03-09,01:04:01
2012-03-11,09:23:57
2012-03-13,05:57:45
2012-03-13,09:08:28
2012-03-13,13:26:46
2012-03-13,17:59:06
2012-03-15,07:58:42
2012-03-17,03:08:13
2012-03-17,05:05:03
2012-03-17,08:11:03
2012-03-19,14:00:22
2012-03-20,02:21:39
2012-03-21,00:53:52
2012-03-23,03:09:19
2012-03-25,02:25:27
2012-03-26,05:16:32
2012-03-26,06:54:09
2012-03-30,00:09:46
2012-03-30,13:33:55
2012-04-02,00:51:57
2012-04-06,01:05:20
2012-04-06,03:48:42
2012-04-07,06:13:59
2012-04-08,00:16:19
2012-04-08,03:34:00
2012-04-09,03:33:25
2012-04-09,16:43:08
2012-04-10,16:05:02
2012-04-11,10:59:00
2012-04-12,17:29:32
2012-04-13,12:49:11
2012-04-14,02:23:34
2012-04-15,03:21:44
2012-04-15,07:28:56
2012-04-16,05:27:29
2012-04-16,11:19:03
2012-04-19,14:54:14
2012-04-21,00:48:39
2012-04-21,05:21:37
2012-04-22,07:40:23
2012-04-23,03:21:45
2012-04-23,03:32:04
2012-04-25,15:46:27
2012-04-26,09:36:28
2012-04-26,13:47:47
2012-04-27,08:52:59
2012-04-28,06:33:03
2012-04-29,03:07:33
2012-05-01,14:31:37
2012-05-01,17:47:59
2012-05-02,01:50:10
2012-05-02,06:19:49
2012-05-02,12:04:29
2012-05-03,12:03:21
2012-05-03,14:51:00
2012-05-04,17:14:38
2012-05-05,12:13:23
2012-05-05,15:30:15
2012-05-06,03:37:09
2012-05-06,08:37:53
2012-05-08,12:53:04
2012-05-11,17:25:14
2012-05-12,02:36:46
2012-05-12,04:56:33
2012-05-12,07:47:17
2012-05-14,07:26:53
2012-05-14,13:01:12
2012-05-14,15:36:27
2012-05-15,04:27:25
2012-05-15,12:46:17
2012-05-15,13:15:47
2012-05-16,07:14:34
2012-05-16,11:38:43
2012-05-17,13:10:31
2012-05-20,08:04:18
2012-05-22,05:18:16
2012-05-22,09:14:31
2012-05-23,15:23:40
2012-05-24,03:06:12
2012-05-25,10:58:40
2012-05-25,15:12:08
2012-05-27,00:09:08
2012-05-27,10:26:33
2012-05-27,11:34:48
2012-05-29,02:07:55
2012-05-29,07:29:10
2012-06-01,04:42:55
2012-06-02,11:14:07
2012-06-03,02:02:41
2012-06-04,05:25:55
2012-06-04,16:58:13
2012-06-06,22:18:20
2012-06-07,09:07:27
2012-06-07,09:09:41
2012-06-07,16:32:32
2012-06-08,01:43:14
2012-06-08,05:26:59
2012-06-10,00:29:19
2012-06-10,03:52:01
2012-06-11,04:03:15
2012-06-12,01:42:03
2012-06-14,15:44:09
2012-06-15,02:46:40
2012-06-16,06:25:57
2012-06-17,07:37:14
2012-06-18,01:20:30
2012-06-19,14:18:48
2012-06-20,12:01:27
2012-06-20,15:27:56
2012-06-21,15:55:08
2012-06-24,03:52:24
2012-06-25,02:24:59
2012-06-26,02:55:49
2012-06-26,07:24:14
2012-06-26,17:37:17
2012-06-27,09:08:45
2012-06-27,11:52:39
2012-06-28,04:29:06
2012-06-29,02:44:28
2012-06-29,05:43:36
2012-06-30,04:19:41
2012-06-30,05:35:04
2012-07-01,06:30:41
2012-07-04,06:28:17
2012-07-04,14:19:51
2012-07-04,14:46:51
2012-07-04,15:58:12
2012-07-05,02:55:24
2012-07-05,04:50:56
2012-07-06,14:32:35
2012-07-06,16:33:48
2012-07-07,00:37:26
2012-07-08,01:09:20
2012-07-09,11:07:48
2012-07-10,03:01:36
2012-07-10,12:51:24
2012-07-10,13:41:13
2012-07-11,03:18:41
2012-07-11,13:07:28
2012-07-13,14:18:45
2012-07-13,15:26:07
2012-07-14,05:39:39
2012-07-16,15:44:58
2012-07-17,07:36:41
2012-07-18,02:04:10
2012-07-18,06:19:24
2012-07-18,13:07:12
2012-07-19,08:43:32
2012-07-20,10:59:28
2012-07-23,15:42:52
2012-07-24,01:04:16
2012-07-24,07:56:13
2012-07-24,13:54:43
2012-07-24,17:00:12
2012-07-25,04:37:46
2012-07-25,07:15:14
2012-07-25,17:42:50
2012-07-28,00:18:45
2012-07-28,05:42:25
2012-08-01,03:23:08
2012-08-03,15:35:19
2012-08-03,16:30:36
2012-08-04,04:49:42
2012-08-07,08:22:16
2012-08-07,10:13:00
2012-08-07,15:59:01
2012-08-10,15:16:30
2012-08-11,07:01:42
2012-08-11,11:46:21
2012-08-12,04:32:28
2012-08-12,09:13:39
2012-08-13,10:32:32
2012-08-14,06:35:48
2012-08-14,10:49:36
2012-08-15,10:43:47
2012-08-16,03:02:18
2012-08-16,17:15:56
2012-08-17,09:02:14
2012-08-17,17:03:05
2012-08-18,00:09:30
2012-08-18,10:40:06
2012-08-20,03:37:48
2012-08-20,09:06:31
2012-08-21,13:49:36
2012-08-22,06:08:48
2012-08-22,08:52:32
2012-08-22,12:06:08
2012-08-23,03:57:01
2012-08-24,08:34:35
2012-08-24,09:08:33
2012-08-26,03:52:11
2012-08-26,07:42:01
2012-08-27,05:58:05
2012-08-28,05:29:39
2012-08-28,09:44:35
2012-08-29,07:13:21
2012-08-31,03:58:33
2012-08-31,05:25:07
2012-08-31,08:43:59
2012-09-02,03:12:52
2012-09-02,03:45:07
2012-09-02,04:12:57
2012-09-02,11:01:09
2012-09-04,13:16:25
2012-09-04,16:40:47
2012-09-05,03:23:34
2012-09-05,06:46:24
2012-09-05,16:28:03
2012-09-07,07:25:45
2012-09-08,08:58:17
2012-09-10,05:00:57
2012-09-11,01:02:35
2012-09-15,01:57:38
2012-09-15,09:23:01
2012-09-17,00:54:32
2012-09-18,06:11:54
2012-09-19,00:42:47
2012-09-19,07:18:18
2012-09-19,10:11:07
2012-09-19,15:19:16
2012-09-20,09:16:44
2012-09-20,09:24:02
2012-09-20,13:40:37
2012-09-21,15:57:59
2012-09-22,09:28:14
2012-09-22,09:50:53
2012-09-23,03:44:53
2012-09-23,10:03:19
2012-09-24,03:07:46
2012-09-25,06:17:52
2012-09-25,11:58:32
2012-09-27,10:06:42
2012-09-27,11:22:44
2012-09-28,00:31:26
2012-09-28,12:50:40
2012-09-29,00:41:28
2012-09-29,00:47:43
2012-09-29,10:38:07
2012-09-30,02:02:27
2012-10-02,03:42:39
2012-10-02,10:27:26
2012-10-02,11:38:57
2012-10-02,16:18:17
2012-10-04,11:18:55
2012-10-04,14:36:57
2012-10-04,15:28:31
2012-10-05,00:28:01
2012-10-05,04:10:25
2012-10-06,00:01:26
2012-10-07,09:17:07
2012-10-07,11:12:15
2012-10-08,01:33:17
2012-10-08,11:47:49
2012-10-09,01:43:25
2012-10-10,06:01:43
2012-10-10,14:08:51
2012-10-11,05:02:31
2012-10-11,07:47:53
2012-10-11,07:57:55
2012-10-11,15:52:48
2012-10-12,00:04:10
2012-10-12,06:36:12
2012-10-13,00:03:36
2012-10-13,08:50:01
2012-10-13,11:38:01
2012-10-18,09:31:21
2012-10-19,01:29:50
2012-10-22,10:07:33
2012-10-25,02:38:56
2012-10-25,03:04:14
2012-10-28,00:48:16
2012-10-28,04:08:13
2012-10-29,00:36:38
2012-10-29,15:12:54
2012-10-29,15:39:11
2012-10-30,07:00:55
2012-10-30,17:38:16
2012-11-02,09:08:16
2012-11-02,10:57:54
2012-11-03,03:27:16
2012-11-05,14:12:06
2012-11-06,14:58:23
2012-11-07,07:53:44
2012-11-07,08:06:57
2012-11-09,07:20:01
2012-11-11,13:27:10
2012-11-12,00:14:32
2012-11-13,04:16:50
2012-11-14,17:29:03
2012-11-15,07:51:21
2012-11-15,07:55:06
2012-11-18,05:10:18
2012-11-20,03:54:09
2012-11-21,01:57:25
2012-11-25,03:18:15
2012-11-25,06:15:35
2012-11-26,10:24:20
2012-11-26,16:12:38
2012-11-27,07:11:06
2012-11-28,01:02:40
2012-11-28,04:58:54
2012-11-29,00:03:40
2012-11-29,17:11:15
2012-11-30,12:06:13
2012-12-02,02:45:16
2012-12-02,03:38:30
2012-12-05,17:03:02
2012-12-07,13:07:27
2012-12-07,15:45:11
2012-12-08,09:11:46
2012-12-09,06:45:32
2012-12-12,23:00:17
2012-12-13,10:00:38
2012-12-13,11:17:57
2012-12-16,00:53:00
2012-12-16,02:41:37
2012-12-16,09:10:20
2012-12-16,10:04:52
2012-12-18,00:53:24
2012-12-19,13:38:18
2012-12-21,01:44:03
2012-12-24,15:32:14
2012-12-25,15:44:46
2012-12-25,16:27:38
2012-12-26,01:45:54
2012-12-26,04:36:55
2012-12-26,06:05:08
2012-12-27,05:10:38
2012-12-28,05:55:11
2012-12-28,09:19:48
2012-12-31,13:34:34
2013-01-01,11:41:45
2013-01-03,07:53:15
2013-01-03,12:51:44
2013-01-04,00:37:34
2013-01-05,06:21:10
2013-01-06,01:56:46
2013-01-08,10:45:26
2013-01-10,13:37:40
2013-01-11,00:35:09
2013-01-12,11:14:05
2013-01-12,11:23:05
2013-01-16,02:41:24
2013-01-16,08:02:58
2013-01-16,12:10:05
2013-01-19,10:49:14
2013-01-20,07:55:51
2013-01-21,05:04:04
2013-01-22,17:32:21
2013-01-23,04:13:41
2013-01-23,09:22:18
2013-01-25,13:05:34
2013-01-25,13:10:01
2013-01-26,07:24:01
2013-01-29,03:12:14
2013-01-29,03:26:38
2013-01-29,09:48:12
2013-01-31,16:46:35
2013-01-31,17:49:52
2013-02-01,04:31:04
2013-02-02,00:01:41
2013-02-02,03:23:23
2013-02-03,00:52:58
2013-02-04,02:24:21
2013-02-04,12:24:32
2013-02-05,02:40:48
2013-02-08,06:07:11
2013-02-08,08:03:33
2013-02-09,04:12:55
2013-02-10,02:51:31
2013-02-10,08:21:31
2013-02-12,12:08:00
2013-02-13,17:59:02
2013-02-15,00:46:47
2013-02-15,09:11:17
2013-02-16,01:09:40
2013-02-16,01:21:49
2013-02-16,08:53:39
2013-02-16,11:35:21
2013-02-17,04:59:00
2013-02-17,07:31:07
2013-02-18,11:56:17
2013-02-19,07:49:06
2013-02-19,08:54:48
2013-02-20,07:18:13
2013-02-20,09:04:03
2013-02-21,08:52:27
2013-02-21,14:52:26
2013-02-22,05:28:31
2013-02-23,00:09:22
2013-02-25,00:29:20
2013-02-25,05:19:06
2013-02-27,15:28:38
2013-03-01,09:55:18
2013-03-05,06:18:06
2013-03-05,11:39:50
2013-03-08,05:49:58
2013-03-09,00:19:37
2013-03-09,00:45:12
2013-03-10,09:12:28
2013-03-11,02:08:02
2013-03-14,11:23:09
2013-03-14,14:21:11
2013-03-18,08:27:58
2013-03-18,16:37:42
2013-03-18,17:17:21
2013-03-19,05:05:25
2013-03-19,11:53:48
2013-03-19,14:15:35
2013-03-20,09:45:58
2013-03-20,17:37:12
2013-03-21,00:54:12
2013-03-22,06:55:03
2013-03-22,13:53:05
2013-03-22,14:01:53
2013-03-23,03:47:06
2013-03-23,04:08:11
2013-03-23,08:38:51
2013-03-24,11:43:03
2013-03-28,05:28:28
2013-03-29,03:35:56
2013-04-03,09:25:15
2013-04-03,17:48:54
2013-04-04,10:05:06
2013-04-06,03:01:27
2013-04-08,03:26:25
2013-04-08,09:33:18
2013-04-09,12:25:21
2013-04-11,04:43:29
2013-04-11,14:54:21
2013-04-12,09:40:44
2013-04-16,02:16:21
2013-04-17,12:01:01
2013-04-17,17:20:24
2013-04-20,04:09:25
2013-04-21,06:04:52
2013-04-22,02:39:32
2013-04-22,06:58:41
2013-04-24,10:25:54
2013-04-26,09:32:11
2013-04-27,11:27:19
2013-04-28,06:25:03
2013-04-28,06:37:56
2013-04-29,00:26:35
2013-04-29,01:38:29
2013-05-01,16:28:34
2013-05-02,12:51:25
2013-05-03,12:35:36
2013-05-06,09:47:56
2013-05-06,14:33:29
2013-05-08,03:32:49
2013-05-09,03:18:13
2013-05-09,04:19:48
2013-05-09,05:04:56
2013-05-10,03:53:52
2013-05-10,07:25:36
2013-05-11,00:47:18
2013-05-11,11:21:45
2013-05-13,08:14:29
2013-05-13,16:07:12
2013-05-17,01:41:05
2013-05-18,04:35:11
2013-05-18,05:26:03
2013-05-19,00:27:54
2013-05-20,14:47:13
2013-05-24,12:11:33
2013-05-25,03:02:17
2013-05-25,05:03:45
2013-05-25,09:26:47
2013-05-26,02:29:42
2013-05-27,05:25:38
2013-05-29,04:11:45
2013-05-30,11:46:27
2013-06-01,09:16:40
2013-06-02,09:59:24
2013-06-03,04:23:11
2013-06-08,11:04:47
2013-06-09,05:53:51
2013-06-09,11:44:20
2013-06-10,05:38:14
2013-06-12,04:09:10
2013-06-12,06:29:19
2013-06-12,06:56:58
2013-06-12,15:27:56
2013-06-14,00:09:32
2013-06-14,05:52:17
2013-06-14,10:43:15
2013-06-15,03:03:33
2013-06-15,09:18:20
2013-06-15,09:47:01
2013-06-15,09:58:17
2013-06-17,08:23:08
2013-06-20,06:05:18
2013-06-22,05:21:59
2013-06-23,02:20:31
2013-06-24,08:59:43
2013-06-25,16:52:15
2013-06-26,03:12:45
2013-06-26,13:16:35
2013-06-27,12:22:59
2013-06-27,13:08:02
2013-06-28,09:25:40
2013-06-28,16:51:58
2013-06-30,06:14:34
2013-06-30,11:11:04
2013-07-02,03:38:14
2013-07-02,04:08:45
2013-07-02,04:16:03
2013-07-03,09:39:02
2013-07-03,11:17:15
2013-07-05,04:48:40
2013-07-05,09:39:23
2013-07-07,22:38:28
2013-07-08,01:54:47
2013-07-11,06:26:51
2013-07-11,15:09:56
2013-07-12,02:27:15
2013-07-12,17:52:52
2013-07-13,00:06:33
2013-07-13,01:08:49
2013-07-15,15:59:58
2013-07-16,12:34:34
2013-07-16,16:21:01
2013-07-18,00:59:50
2013-07-18,04:33:22
2013-07-19,06:52:04
2013-07-19,11:40:43
2013-07-22,09:29:43
2013-07-24,11:42:01
2013-07-26,01:23:30
2013-07-26,11:39:30
2013-07-27,11:43:29
2013-07-27,11:59:58
2013-07-28,07:48:03
2013-07-30,00:05:40
2013-07-31,01:32:30
2013-07-31,08:43:51
2013-07-31,10:00:44
2013-08-01,12:33:07
2013-08-02,00:02:40
2013-08-02,08:11:45
2013-08-02,14:13:59
2013-08-03,04:27:41
2013-08-05,02:41:10
2013-08-06,10:28:37
2013-08-07,04:18:58
2013-08-07,05:27:29
2013-08-08,13:28:16
2013-08-10,10:47:37
2013-08-11,02:02:14
2013-08-12,07:46:38
2013-08-14,13:29:18
2013-08-15,00:25:17
2013-08-15,07:21:53
2013-08-16,05:25:35
2013-08-16,10:53:24
2013-08-17,01:41:47
2013-08-17,06:33:40
2013-08-17,09:33:12
2013-08-17,11:59:40
2013-08-18,10:02:44
2013-08-19,05:14:21
2013-08-19,10:59:15
2013-08-21,01:07:57
2013-08-21,13:01:03
2013-08-22,02:25:15
2013-08-22,17:22:20
2013-08-24,09:50:26
2013-08-25,02:42:01
2013-08-25,04:09:54
2013-08-25,09:43:40
2013-08-26,02:40:32
2013-08-26,06:04:48
2013-08-27,01:04:58
2013-08-28,05:26:37
2013-08-29,11:59:57
2013-08-31,03:52:03
2013-09-01,03:51:58
2013-09-01,08:56:53
2013-09-03,12:01:35
2013-09-04,00:57:59
2013-09-04,07:53:10
2013-09-04,15:51:02
2013-09-06,14:27:15
2013-09-06,15:04:39
2013-09-07,06:29:04
2013-09-07,10:31:53
2013-09-11,00:08:26
2013-09-11,02:31:07
2013-09-11,10:16:37
2013-09-11,15:14:40
2013-09-12,08:24:34
2013-09-13,09:39:11
2013-09-14,10:52:27
2013-09-18,05:22:11
2013-09-20,00:07:21
2013-09-20,10:00:32
2013-09-21,00:13:46
2013-09-21,04:46:49
2013-09-21,08:50:41
2013-09-25,14:53:52
2013-09-27,00:21:26
2013-09-27,06:54:34
2013-09-27,16:25:06
2013-09-28,03:48:00
2013-09-28,05:30:28
2013-09-28,09:44:04
2013-09-29,04:47:49
2013-09-29,09:02:48
2013-09-29,10:01:46
2013-09-30,09:58:54
2013-09-30,10:17:19
2013-09-30,10:41:14
2013-10-01,15:15:28
2013-10-02,14:15:54
2013-10-03,01:43:58
2013-10-03,05:22:40
2013-10-03,10:04:47
2013-10-03,15:57:07
2013-10-04,13:25:41
2013-10-05,04:52:23
2013-10-05,11:33:38
2013-10-07,00:54:09
2013-10-07,05:49:19
2013-10-08,07:15:30
2013-10-11,09:30:16
2013-10-12,07:16:15
2013-10-13,00:04:45
2013-10-13,05:30:49
2013-10-13,08:13:41
2013-10-18,08:49:39
2013-10-18,16:43:13
2013-10-19,04:15:58
2013-10-19,08:22:48
2013-10-19,10:18:50
2013-10-20,09:57:16
2013-10-21,13:47:25
2013-10-22,05:50:35
2013-10-22,12:08:55
2013-10-22,17:41:27
2013-10-24,07:23:33
2013-10-24,13:33:13
2013-10-24,16:13:36
2013-10-25,12:07:45
2013-10-27,00:59:22
2013-10-27,08:24:58
