giftcard_id,amount,publish_date,expire_date
0000000078,300,5/3/2014,5/3/2015
0000000079,1000,6/10/2014,6/10/2015
0000000080,300,6/14/2014,6/14/2015
0000000081,200,6/16/2014,6/16/2015
0000000082,200,6/17/2014,6/17/2015
0000000083,500,6/22/2014,6/22/2015
0000000084,100,6/26/2014,6/26/2015
0000000085,1000,7/10/2014,7/10/2015
0000000086,200,8/9/2014,8/9/2015
0000000087,500,10/17/2014,10/17/2015
0000000088,200,10/18/2014,10/18/2015
0000000089,200,10/25/2014,10/25/2015
0000000090,100,11/25/2014,11/25/2015
0000000091,500,12/5/2014,12/5/2015
0000000092,1000,12/9/2014,12/9/2015
0000000093,1000,1/8/2015,1/8/2016
0000000094,500,2/15/2015,2/15/2016
0000000095,200,2/24/2015,2/24/2016
0000000096,200,2/26/2015,2/26/2016
0000000097,500,3/14/2015,3/13/2016
0000000098,200,4/8/2015,4/7/2016
0000000099,100,4/24/2015,4/23/2016
0000000100,200,5/12/2015,5/11/2016
0000000101,200,6/16/2015,6/15/2016
0000000102,500,7/17/2015,7/16/2016
0000000103,500,7/28/2015,7/27/2016
0000000104,100,7/30/2015,7/29/2016
0000000105,1000,7/30/2015,7/29/2016
0000000106,1000,8/27/2015,8/26/2016
0000000107,200,9/22/2015,9/21/2016
0000000108,500,10/14/2015,10/13/2016
0000000109,1000,10/26/2015,10/25/2016
0000000110,500,11/4/2015,11/3/2016
0000000111,500,11/6/2015,11/5/2016
0000000112,500,11/24/2015,11/23/2016
0000000113,100,11/28/2015,11/27/2016
0000000114,500,1/23/2016,1/22/2017
0000000115,200,2/13/2016,2/12/2017
0000000116,1000,2/20/2016,2/19/2017
0000000117,100,3/24/2016,3/24/2017
0000000118,500,3/24/2016,3/24/2017
0000000119,500,3/26/2016,3/26/2017
0000000120,500,3/28/2016,3/28/2017
0000000121,1000,4/24/2016,4/24/2017
0000000122,300,5/7/2016,5/7/2017
0000000123,100,5/11/2016,5/11/2017
0000000124,200,6/25/2016,6/25/2017
0000000125,1000,7/3/2016,7/3/2017
0000000126,300,7/8/2016,7/8/2017
0000000127,200,7/20/2016,7/20/2017
0000000128,1000,7/26/2016,7/26/2017
0000000129,300,8/17/2016,8/17/2017
0000000130,300,9/5/2016,9/5/2017
0000000131,100,10/2/2016,10/2/2017
0000000132,1000,10/4/2016,10/4/2017
0000000133,500,10/22/2016,10/22/2017
0000000134,200,10/26/2016,10/26/2017
0000000135,300,11/3/2016,11/3/2017
0000000136,500,11/4/2016,11/4/2017
0000000137,1000,11/4/2016,11/4/2017
0000000138,100,11/11/2016,11/11/2017
0000000139,300,12/15/2016,12/15/2017
0000000140,500,12/20/2016,12/20/2017
0000000141,1000,12/31/2016,12/31/2017
0000000142,300,1/1/2017,1/1/2018
0000000143,200,1/5/2017,1/5/2018
0000000144,500,1/7/2017,1/7/2018
0000000145,300,1/17/2017,1/17/2018
0000000146,500,2/5/2017,2/5/2018
0000000147,500,3/3/2017,3/3/2018
0000000148,300,3/13/2017,3/13/2018
0000000149,200,4/1/2017,4/1/2018
0000000150,300,4/25/2017,4/25/2018
0000000151,1000,4/27/2017,4/27/2018
0000000152,500,5/11/2017,5/11/2018
0000000153,500,5/13/2017,5/13/2018
0000000154,100,5/18/2017,5/18/2018
0000000155,300,6/6/2017,6/6/2018
0000000156,1000,7/6/2017,7/6/2018
0000000157,100,7/12/2017,7/12/2018
0000000158,500,7/24/2017,7/24/2018
0000000159,500,9/25/2017,9/25/2018
0000000160,100,10/22/2017,10/22/2018
0000000161,300,11/2/2017,11/2/2018
0000000162,500,11/5/2017,11/5/2018
0000000163,1000,11/29/2017,11/29/2018
0000000164,300,1/13/2018,1/13/2019
0000000165,200,1/21/2018,1/21/2019
0000000166,300,1/27/2018,1/27/2019
0000000167,500,1/31/2018,1/31/2019
0000000168,1000,2/6/2018,2/6/2019
0000000169,500,2/15/2018,2/15/2019
0000000170,300,2/16/2018,2/16/2019
0000000171,300,2/20/2018,2/20/2019
0000000172,300,2/26/2018,2/26/2019
0000000173,200,3/4/2018,3/4/2019
0000000174,100,3/5/2018,3/5/2019
0000000175,100,3/22/2018,3/22/2019
0000000176,200,4/14/2018,4/14/2019
0000000177,300,4/15/2018,4/15/2019
0000000178,100,4/19/2018,4/19/2019
0000000179,1000,5/3/2018,5/3/2019
0000000180,500,6/2/2018,6/2/2019
0000000181,300,6/14/2018,6/14/2019
0000000182,1000,6/21/2018,6/21/2019
0000000183,200,7/1/2018,7/1/2019
0000000184,300,9/29/2018,9/29/2019
0000000185,200,10/23/2018,10/23/2019
0000000186,200,10/30/2018,10/30/2019
0000000187,500,11/22/2018,11/22/2019
0000000188,200,11/28/2018,11/28/2019
0000000189,100,11/28/2018,11/28/2019
0000000190,100,11/30/2018,11/30/2019
0000000191,300,12/23/2018,12/23/2019
0000000192,100,12/30/2018,12/30/2019
0000000193,1000,1/4/2019,1/4/2020
0000000194,1000,1/21/2019,1/21/2020
0000000195,200,2/11/2019,2/11/2020
0000000196,100,3/5/2019,3/4/2020
0000000197,1000,3/26/2019,3/25/2020
0000000198,300,4/1/2019,3/31/2020
0000000199,1000,6/28/2019,6/27/2020
0000000200,300,7/4/2019,7/3/2020
0000000201,500,7/14/2019,7/13/2020
0000000202,1000,7/19/2019,7/18/2020
0000000203,200,7/28/2019,7/27/2020
0000000204,500,8/1/2019,7/31/2020
0000000205,200,8/4/2019,8/3/2020
0000000206,300,8/19/2019,8/18/2020
0000000207,200,8/28/2019,8/27/2020
0000000208,1000,10/24/2019,10/23/2020
0000000209,200,10/27/2019,10/26/2020
0000000210,500,11/23/2019,11/22/2020
0000000211,1000,12/5/2019,12/4/2020
0000000212,1000,2/1/2020,1/31/2021
0000000213,100,2/10/2020,2/9/2021
0000000214,300,2/14/2020,2/13/2021
0000000215,1000,2/14/2020,2/13/2021
0000000216,100,2/17/2020,2/16/2021
0000000217,1000,4/3/2020,4/3/2021
0000000218,1000,4/6/2020,4/6/2021
0000000219,200,4/20/2020,4/20/2021
0000000220,100,4/20/2020,4/20/2021
0000000221,300,5/13/2020,5/13/2021
0000000222,1000,5/21/2020,5/21/2021
0000000223,300,5/29/2020,5/29/2021
0000000224,200,6/13/2020,6/13/2021
0000000225,200,6/14/2020,6/14/2021
0000000226,100,6/23/2020,6/23/2021
0000000227,200,7/10/2020,7/10/2021
0000000228,200,7/16/2020,7/16/2021
0000000229,500,7/24/2020,7/24/2021
0000000230,100,8/2/2020,8/2/2021
0000000231,100,9/8/2020,9/8/2021
0000000232,200,9/9/2020,9/9/2021
0000000233,100,10/10/2020,10/10/2021
0000000234,1000,10/19/2020,10/19/2021
0000000235,1000,11/30/2020,11/30/2021
0000000236,100,12/6/2020,12/6/2021
0000000237,1000,12/16/2020,12/16/2021
0000000238,300,1/4/2021,1/4/2022
0000000239,200,1/10/2021,1/10/2022
0000000240,300,1/27/2021,1/27/2022
0000000241,200,2/16/2021,2/16/2022
0000000242,100,3/9/2021,3/9/2022
0000000243,500,3/9/2021,3/9/2022
0000000244,500,3/14/2021,3/14/2022
0000000245,500,3/19/2021,3/19/2022
0000000246,300,3/24/2021,3/24/2022
0000000247,100,3/24/2021,3/24/2022
0000000248,500,5/6/2021,5/6/2022
0000000249,500,5/16/2021,5/16/2022
0000000250,1000,5/29/2021,5/29/2022
0000000251,100,6/7/2021,6/7/2022
0000000252,500,6/9/2021,6/9/2022
0000000253,500,7/16/2021,7/16/2022
0000000254,1000,9/5/2021,9/5/2022
0000000255,500,9/6/2021,9/6/2022
0000000256,1000,12/18/2021,12/18/2022
0000000257,1000,12/29/2021,12/29/2022
0000000258,500,12/30/2021,12/30/2022
0000000259,200,1/23/2022,1/23/2023
0000000260,100,2/10/2022,2/10/2023
0000000261,300,3/24/2022,3/24/2023
0000000262,1000,4/2/2022,4/2/2023
0000000263,100,4/8/2022,4/8/2023
0000000264,100,4/21/2022,4/21/2023
0000000265,100,4/28/2022,4/28/2023
0000000266,300,4/29/2022,4/29/2023
0000000267,1000,5/1/2022,5/1/2023
0000000268,1000,5/7/2022,5/7/2023
0000000269,100,5/28/2022,5/28/2023
0000000270,100,6/5/2022,6/5/2023
0000000271,200,6/27/2022,6/27/2023
0000000272,1000,7/14/2022,7/14/2023
0000000273,1000,8/8/2022,8/8/2023
0000000274,500,10/5/2022,10/5/2023
0000000275,500,10/25/2022,10/25/2023
0000000276,500,10/29/2022,10/29/2023
0000000277,200,11/21/2022,11/21/2023
0000000278,200,11/23/2022,11/23/2023
0000000279,100,11/23/2022,11/23/2023
0000000280,100,11/28/2022,11/28/2023
0000000281,300,12/6/2022,12/6/2023
0000000282,200,12/14/2022,12/14/2023
0000000283,500,12/18/2022,12/18/2023
0000000284,200,1/17/2023,1/17/2024
0000000285,300,1/30/2023,1/30/2024
0000000286,1000,2/8/2023,2/8/2024
0000000287,200,2/14/2023,2/14/2024
0000000288,500,3/3/2023,3/2/2024
0000000289,200,3/4/2023,3/3/2024
0000000290,200,3/18/2023,3/17/2024
0000000291,100,3/22/2023,3/21/2024
0000000292,1000,3/30/2023,3/29/2024
0000000293,500,3/31/2023,3/30/2024
0000000294,300,4/3/2023,4/2/2024
0000000295,300,5/1/2023,4/30/2024
0000000296,300,5/4/2023,5/3/2024
0000000297,300,5/17/2023,5/16/2024
0000000298,200,6/19/2023,6/18/2024
0000000299,100,6/27/2023,6/26/2024
0000000300,200,8/4/2023,8/3/2024
